date_added,company,role_title,lane_label,fit_status,audit_flag,source_resume,output_file,snapshot_id,applied_date,current_status,last_round,outcome,notes
2026-05-27,BioTouch,Solutions Implementation Consultant,Implementation and Delivery,Strong Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - BioTouch - Solutions Implementation Consultant FAIL Resume.docx,,,interview,2,,Auto-tracked by resume workflow.
2026-05-27,Boomi,Senior Presales Solutions Engineer,Pre-Sales and Solution Consulting,Strong Fit,FAIL,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Boomi - Senior Presales Solutions Engineer FAIL Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-01,4flow,PreSales Consultant,Implementation and Delivery,,,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - 4flow Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-01,Bain,Consultant,Change Enablement and Adoption,,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Bain Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-03,Budnick,Sr CRMBSA,Implementation and Delivery,,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Budnick Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-04,Givebutter,Customer Education Specialist,Customer Success and Retention,,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Givebutter Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-05,State Farm,Digital Experience Analytics Analyst,Implementation and Delivery,,,Estrada_Resume_Implementation.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - State Farm - Digital Experience Analytics Analyst Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-05,Flexport,"Account Manager I, Fulfillment",Customer Success and Retention,,,Estrada_Resume_Implementation.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Flexport - Account Manager I, Fulfillment Resume.docx",,,draft,,,Auto-tracked by resume workflow.
2026-06-05,Anord Mardix,Field Service Technical Support,Implementation and Delivery,,,Estrada_Resume_PreSales_CSM.docx,C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Anord Mardix Resume.docx,,,draft,,,Auto-tracked by resume workflow.
2026-06-05,Toast,"Senior Manager, Care Experience Management",Change Enablement and Adoption,,FAIL,Estrada_Resume_PreSales_CSM.docx,"C:\Users\chris\OneDrive\Desktop\Christian Resume System\output\Christian Estrada - Toast - Senior Manager, Care Experience Management FAIL Resume.docx",,,draft,,,Auto-tracked by resume workflow.
